path,label,label_idx
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\07Acne081101.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\07AcnePittedScars.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\07AcnePittedScars1.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\141__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\142__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\143__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\144__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\146__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDEwXQ.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\148__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\149__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\150__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\151__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\152__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\154__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\159__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\160__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\165__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\166__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\167__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\169__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\172__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\173__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\174__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\175__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\176__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\177__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\178__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\179__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\181__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\182__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\184__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\185__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,0
D:\SCUT\毕业设计\Code\Dataset\archive\SkinDisease\train\Acne\188__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,Acne,0
